,(none),b,p,m,f,v,d,t,n,l,x,g,k,ng,h,j,ch,s,y
a,a,ba,pa,ma,fa,va,da,ta,na,la,xa,ga,ka,nga,ha,ja,cha,sa,ya
ai,ai,bai,pai,mai,fai,vai,dai,tai,nai,lai,xai,gai,kai,ngai,hai,jai,chai,sai,yai
ao,ao,bao,pao,mao,fao,vao,dao,tao,nao,lao,xao,gao,kao,ngao,hao,jao,chao,sao,yao
ao,ao,bao,pao,mao,fao,vao,dao,tao,nao,lao,xao,gao,kao,ngao,hao,jao,chao,sao,yao
am,am,bam,pam,mam,fam,vam,dam,tam,nam,lam,xam,gam,kam,ngam,ham,jam,cham,sam,yam
an,an,ban,pan,man,fan,van,dan,tan,nan,lan,xan,gan,kan,ngan,han,jan,chan,san,yan
ang,ang,bang,pang,mang,fang,vang,dang,tang,nang,lang,xang,gang,kang,ngang,hang,jang,chang,sang,yang
ap,ap,bap,pap,map,fap,vap,dap,tap,nap,lap,xap,gap,kap,ngap,hap,jap,chap,sap,yap
at,at,bat,pat,mat,fat,vat,dat,tat,nat,lat,xat,gat,kat,ngat,hat,jat,chat,sat,yat
ak,ak,bak,pak,mak,fak,vak,dak,tak,nak,lak,xak,gak,kak,ngak,hak,jak,chak,sak,yak
m,m,,,,,,,,,,,,,,,,,,
e,e,be,pe,me,fe,ve,de,te,ne,le,xe,ge,ke,nge,he,je,che,se,ye
i,i,bi,pi,mi,fi,vi,di,ti,ni,li,xi,gi,ki,ngi,hi,,,,
eo,eo,beo,peo,meo,feo,veo,deo,teo,neo,leo,xeo,geo,keo,ngeo,heo,jeo,cheo,seo,yeo
eim,eim,beim,peim,meim,feim,veim,deim,teim,neim,leim,xeim,geim,keim,ngeim,heim,jeim,cheim,seim,yeim
ein,ein,bein,pein,mein,fein,vein,dein,tein,nein,lein,xein,gein,kein,ngein,hein,jein,chein,sein,yein
en,en,ben,pen,men,fen,ven,den,ten,nen,len,xen,gen,ken,ngen,hen,jen,chen,sen,yen
eip,eip,beip,peip,meip,feip,veip,deip,teip,neip,leip,xeip,geip,keip,ngeip,heip,jeip,cheip,seip,yeip
eik,eik,beik,peik,meik,feik,veik,deik,teik,neik,leik,xeik,geik,keik,ngeik,heik,jeik,cheik,seik,yeik
et,et,bet,pet,met,fet,vet,det,tet,net,let,xet,get,ket,nget,het,jet,chet,set,yet
ng,ng,,,,,,,,,,,,,,,,,,
o,o,bo,po,mo,fo,vo,do,to,no,lo,xo,go,ko,ngo,ho,jo,cho,so,yo
oi,oi,boi,poi,moi,foi,voi,doi,toi,noi,loi,xoi,goi,koi,ngoi,hoi,joi,choi,soi,yoi
on,on,bon,pon,mon,fon,von,don,ton,non,lon,xon,gon,kon,ngon,hon,jon,chon,son,yon
ong,ong,bong,pong,mong,fong,vong,dong,tong,nong,long,xong,gong,kong,ngong,hong,jong,chong,song,yong
ot,ot,bot,pot,mot,fot,vot,dot,tot,not,lot,xot,got,kot,ngot,hot,jot,chot,sot,yot
ok,ok,bok,pok,mok,fok,vok,dok,tok,nok,lok,xok,gok,kok,ngok,hok,jok,chok,sok,yok
i,i,bi,pi,mi,fi,vi,di,ti,ni,li,xi,gi,ki,ngi,hi,ji,chi,si,yi
iu,iu,biu,piu,miu,fiu,viu,diu,tiu,niu,liu,xiu,giu,kiu,ngiu,hiu,jiu,chiu,siu,yiu
im,im,bim,pim,mim,fim,vim,dim,tim,nim,lim,xim,gim,kim,ngim,him,jim,chim,sim,yim
in,in,bin,pin,min,fin,vin,din,tin,nin,lin,xin,gin,kin,ngin,hin,jin,chin,sin,yin
ip,ip,bip,pip,mip,fip,vip,dip,tip,nip,lip,xip,gip,kip,ngip,hip,jip,chip,sip,yip
it,it,bit,pit,mit,fit,vit,dit,tit,nit,lit,xit,git,kit,ngit,hit,jit,chit,sit,yit
eh,eh,beh,peh,meh,feh,veh,deh,teh,neh,leh,xeh,geh,keh,ngeh,heh,jeh,cheh,seh,yeh
el,el,bel,pel,mel,fel,vel,del,tel,nel,lel,xel,gel,kel,ngel,hel,jel,chel,sel,yel
em,em,bem,pem,mem,fem,vem,dem,tem,nem,lem,xem,gem,kem,ngem,hem,jem,chem,sem,yem
eng,eng,beng,peng,meng,feng,veng,deng,teng,neng,leng,xeng,geng,keng,ngeng,heng,jeng,cheng,seng,yeng
ep,ep,bep,pep,mep,fep,vep,dep,tep,nep,lep,xep,gep,kep,ngep,hep,jep,chep,sep,yep
ek,ek,bek,pek,mek,fek,vek,dek,tek,nek,lek,xek,gek,kek,ngek,hek,jek,chek,sek,yek
u,u,bu,pu,mu,fu,vu,du,tu,nu,lu,xu,gu,ku,ngu,hu,ju,chu,su,yu
ui,ui,bui,pui,mui,fui,vui,dui,tui,nui,lui,xui,gui,kui,ngui,hui,jui,chui,sui,yui
o,o,bo,po,mo,fo,vo,do,to,no,lo,xo,go,ko,ngo,ho,jo,cho,so,yo
un,un,bun,pun,mun,fun,vun,dun,tun,nun,lun,xun,gun,kun,ngun,hun,jun,chun,sun,yun
ung,ung,bung,pung,mung,fung,vung,dung,tung,nung,lung,xung,gung,kung,ngung,hung,jung,chung,sung,yung
ut,ut,but,put,mut,fut,vut,dut,tut,nut,lut,xut,gut,kut,ngut,hut,jut,chut,sut,yut
uk,uk,buk,puk,muk,fuk,vuk,duk,tuk,nuk,luk,xuk,guk,kuk,nguk,huk,juk,chuk,suk,yuk