,(none),b,p,m,f,v,d,t,n,l,lh,g,k,ng,h,dz,ts,s,y
a,a,ba,pa,ma,fa,va,da,ta,na,la,lha,ga,ka,nga,ha,dza,tsa,sa,ya
ai,ai,bai,pai,mai,fai,vai,dai,tai,nai,lai,lhai,gai,kai,ngai,hai,dzai,tsai,sai,yai
au,au,bau,pau,mau,fau,vau,dau,tau,nau,lau,lhau,gau,kau,ngau,hau,dzau,tsau,sau,yau
au,au,bau,pau,mau,fau,vau,dau,tau,nau,lau,lhau,gau,kau,ngau,hau,dzau,tsau,sau,yau
am,am,bam,pam,mam,fam,vam,dam,tam,nam,lam,lham,gam,kam,ngam,ham,dzam,tsam,sam,yam
an,an,ban,pan,man,fan,van,dan,tan,nan,lan,lhan,gan,kan,ngan,han,dzan,tsan,san,yan
ang,ang,bang,pang,mang,fang,vang,dang,tang,nang,lang,lhang,gang,kang,ngang,hang,dzang,tsang,sang,yang
ap,ap,bap,pap,map,fap,vap,dap,tap,nap,lap,lhap,gap,kap,ngap,hap,dzap,tsap,sap,yap
at,at,bat,pat,mat,fat,vat,dat,tat,nat,lat,lhat,gat,kat,ngat,hat,dzat,tsat,sat,yat
ak,ak,bak,pak,mak,fak,vak,dak,tak,nak,lak,lhak,gak,kak,ngak,hak,dzak,tsak,sak,yak
m,m,,,,,,,,,,,,,,,,,,
e,e,be,pe,me,fe,ve,de,te,ne,le,lhe,ge,ke,nge,he,dze,tse,se,ye
(e)i,(e)i,b(e)i,p(e)i,m(e)i,f(e)i,v(e)i,d(e)i,t(e)i,n(e)i,l(e)i,lh(e)i,g(e)i,k(e)i,ng(e)i,h(e)i,,,,
eu,eu,beu,peu,meu,feu,veu,deu,teu,neu,leu,lheu,geu,keu,ngeu,heu,dzeu,tseu,seu,yeu
em,em,bem,pem,mem,fem,vem,dem,tem,nem,lem,lhem,gem,kem,ngem,hem,dzem,tsem,sem,yem
en,en,ben,pen,men,fen,ven,den,ten,nen,len,lhen,gen,ken,ngen,hen,dzen,tsen,sen,yen
en,en,ben,pen,men,fen,ven,den,ten,nen,len,lhen,gen,ken,ngen,hen,dzen,tsen,sen,yen
ep,ep,bep,pep,mep,fep,vep,dep,tep,nep,lep,lhep,gep,kep,ngep,hep,dzep,tsep,sep,yep
et,et,bet,pet,met,fet,vet,det,tet,net,let,lhet,get,ket,nget,het,dzet,tset,set,yet
et,et,bet,pet,met,fet,vet,det,tet,net,let,lhet,get,ket,nget,het,dzet,tset,set,yet
m,m,,,,,,,,,,,,,,,,,,
o,o,bo,po,mo,fo,vo,do,to,no,lo,lho,go,ko,ngo,ho,dzo,tso,so,yo
oi,oi,boi,poi,moi,foi,voi,doi,toi,noi,loi,lhoi,goi,koi,ngoi,hoi,dzoi,tsoi,soi,yoi
on,on,bon,pon,mon,fon,von,don,ton,non,lon,lhon,gon,kon,ngon,hon,dzon,tson,son,yon
ong,ong,bong,pong,mong,fong,vong,dong,tong,nong,long,lhong,gong,kong,ngong,hong,dzong,tsong,song,yong
ot,ot,bot,pot,mot,fot,vot,dot,tot,not,lot,lhot,got,kot,ngot,hot,dzot,tsot,sot,yot
ok,ok,bok,pok,mok,fok,vok,dok,tok,nok,lok,lhok,gok,kok,ngok,hok,dzok,tsok,sok,yok
(e)i,,,,,,,,,,,,,,,,dzi,tsi,si,yi
iu,iu,biu,piu,miu,fiu,viu,diu,tiu,niu,liu,lhiu,giu,kiu,ngiu,hiu,dziu,tsiu,siu,yiu
im,im,bim,pim,mim,fim,vim,dim,tim,nim,lim,lhim,gim,kim,ngim,him,dzim,tsim,sim,yim
in,in,bin,pin,min,fin,vin,din,tin,nin,lin,lhin,gin,kin,ngin,hin,dzin,tsin,sin,yin
ip,ip,bip,pip,mip,fip,vip,dip,tip,nip,lip,lhip,gip,kip,ngip,hip,dzip,tsip,sip,yip
it,it,bit,pit,mit,fit,vit,dit,tit,nit,lit,lhit,git,kit,ngit,hit,dzit,tsit,sit,yit
ia,ia,bia,pia,mia,fia,via,dia,tia,nia,lia,lhia,gia,kia,ngia,hia,dzia,tsia,sia,yia
iau,iau,biau,piau,miau,fiau,viau,diau,tiau,niau,liau,lhiau,giau,kiau,ngiau,hiau,dziau,tsiau,siau,yiau
iam,iam,biam,piam,miam,fiam,viam,diam,tiam,niam,liam,lhiam,giam,kiam,ngiam,hiam,dziam,tsiam,siam,yiam
iang,iang,biang,piang,miang,fiang,viang,diang,tiang,niang,liang,lhiang,giang,kiang,ngiang,hiang,dziang,tsiang,siang,yiang
iap,iap,biap,piap,miap,fiap,viap,diap,tiap,niap,liap,lhiap,giap,kiap,ngiap,hiap,dziap,tsiap,siap,yiap
iak,iak,biak,piak,miak,fiak,viak,diak,tiak,niak,liak,lhiak,giak,kiak,ngiak,hiak,dziak,tsiak,siak,yiak
u,u,bu,pu,mu,fu,vu,du,tu,nu,lu,lhu,gu,ku,ngu,hu,dzu,tsu,su,yu
ui,ui,bui,pui,mui,fui,vui,dui,tui,nui,lui,lhui,gui,kui,ngui,hui,dzui,tsui,sui,yui
uo,uo,buo,puo,muo,fuo,vuo,duo,tuo,nuo,luo,lhuo,guo,kuo,nguo,huo,dzuo,tsuo,suo,yuo
un,un,bun,pun,mun,fun,vun,dun,tun,nun,lun,lhun,gun,kun,ngun,hun,dzun,tsun,sun,yun
ung,ung,bung,pung,mung,fung,vung,dung,tung,nung,lung,lhung,gung,kung,ngung,hung,dzung,tsung,sung,yung
ut,ut,but,put,mut,fut,vut,dut,tut,nut,lut,lhut,gut,kut,ngut,hut,dzut,tsut,sut,yut
uk,uk,buk,puk,muk,fuk,vuk,duk,tuk,nuk,luk,lhuk,guk,kuk,nguk,huk,dzuk,tsuk,suk,yuk